pages_visited,time_spent,scroll_depth,category_match,intent_score,comparison_count,product_views,intent_velocity,reread_score,engagement_depth,hover_rate,max_scroll_depth,category_affinity_strength,clicked
11,119,0.07,0,0.46,1,1,0.195,0.68,0.89,0.7,0.15,0.01,0
1,579,0.24,0,0.44,1,0,0.08,0.28,0.87,6.07,0.43,0.08,1
13,349,0.15,0,0.61,2,2,0.141,0.81,0.73,4.29,0.26,0.11,0
14,375,0.6,0,0.47,0,5,-0.009,0.29,0.08,1.86,0.81,0.06,0
6,368,0.25,1,0.65,5,5,-0.071,0.63,0.53,1.96,0.33,0.49,1
4,337,0.85,0,0.4,1,0,0.222,0.4,0.07,7.31,1.0,0.06,0
15,474,0.19,0,0.56,5,4,0.116,0.75,0.43,4.67,0.23,0.2,0
13,53,0.87,0,0.51,1,5,0.069,0.06,0.38,7.97,0.92,0.19,1
12,122,0.7,1,0.49,2,5,0.036,0.29,0.16,0.03,0.86,0.48,1
15,113,0.88,0,0.63,5,4,0.144,0.15,0.76,4.32,0.97,0.12,1
6,319,0.28,1,0.51,4,0,-0.066,0.49,0.07,6.08,0.35,0.76,1
9,438,0.97,0,0.69,5,5,-0.02,0.31,1.0,5.2,1.0,0.09,1
1,572,0.27,0,0.47,0,0,-0.008,0.91,0.86,0.57,0.34,0.13,1
15,589,0.6,0,0.56,3,3,-0.024,0.1,0.43,3.39,0.67,0.01,0
1,417,0.74,0,0.32,0,0,-0.023,0.54,0.14,1.47,0.98,0.17,0
14,568,0.14,1,0.66,4,0,0.288,0.93,0.85,1.33,0.34,0.45,1
7,7,0.99,0,0.57,3,2,0.069,0.96,1.0,4.45,1.0,0.03,0
10,560,0.11,0,0.47,0,4,0.091,0.92,0.53,0.46,0.2,0.17,1
14,245,0.43,1,0.43,4,1,0.132,0.04,0.08,5.26,0.71,0.52,0
6,249,0.3,1,0.66,5,2,0.083,0.93,0.94,0.07,0.34,1.0,1
5,140,0.94,0,0.51,1,2,0.014,0.44,0.54,2.42,1.0,0.0,0
11,111,0.94,0,0.45,0,0,0.197,0.16,0.28,1.69,0.98,0.14,0
5,57,0.14,0,0.4,2,0,-0.099,0.77,0.64,2.1,0.27,0.11,1
2,157,0.57,0,0.33,2,2,-0.041,0.13,0.31,7.19,0.82,0.04,1
13,578,0.89,0,0.77,4,5,-0.038,0.93,0.86,7.81,1.0,0.0,1
15,426,0.81,0,0.61,1,2,-0.036,0.7,0.38,0.31,1.0,0.04,0
14,238,0.26,0,0.59,3,2,0.011,0.07,0.77,2.81,0.46,0.14,0
1,123,0.88,1,0.54,1,0,-0.057,0.43,0.73,2.51,0.96,0.38,1
1,451,0.05,0,0.48,0,1,0.073,0.95,0.92,4.99,0.33,0.14,0
7,339,0.43,1,0.58,1,1,0.068,0.94,0.68,7.22,0.52,0.51,1
5,220,0.46,0,0.42,5,2,0.086,0.44,0.21,3.79,0.63,0.13,0
10,348,0.14,0,0.4,1,5,0.024,0.81,0.15,0.37,0.43,0.17,0
11,594,0.23,0,0.48,3,3,-0.002,0.66,0.01,6.01,0.44,0.04,0
8,56,0.58,0,0.45,0,3,-0.047,0.46,0.53,4.47,0.86,0.12,0
14,566,0.47,0,0.56,3,3,0.004,0.25,0.64,6.13,0.52,0.13,1
5,245,0.31,0,0.48,4,0,-0.045,0.23,0.69,5.65,0.41,0.08,0
4,435,0.42,0,0.41,0,4,0.052,0.01,0.35,6.03,0.65,0.15,0
4,504,0.26,0,0.45,0,3,0.034,0.68,0.4,1.32,0.39,0.2,0
10,582,0.68,0,0.52,3,1,0.247,0.18,0.26,2.62,0.71,0.07,0
14,436,0.29,0,0.6,0,5,0.116,1.0,0.35,5.2,0.31,0.15,1
1,161,0.28,1,0.38,0,0,0.086,0.26,0.37,4.85,0.42,0.38,0
2,597,0.07,0,0.38,2,1,0.059,0.72,0.08,5.52,0.16,0.02,0
10,128,0.81,0,0.36,0,2,0.113,0.66,0.07,5.18,0.98,0.16,0
11,475,0.72,1,0.74,5,4,0.286,0.27,0.81,4.31,0.85,0.6,1
14,256,0.84,0,0.57,3,1,0.2,0.57,0.67,2.69,0.87,0.04,0
6,291,0.89,0,0.52,2,4,-0.096,0.95,0.09,5.76,1.0,0.15,0
8,463,0.8,0,0.57,1,3,0.177,0.31,0.58,3.79,0.83,0.09,1
12,469,0.31,1,0.53,0,5,-0.023,0.12,0.54,6.1,0.39,0.45,0
13,542,0.62,0,0.44,1,2,-0.009,0.18,0.01,4.27,0.91,0.19,0
3,507,0.15,0,0.53,2,3,0.091,0.34,0.97,2.02,0.15,0.16,1
11,59,0.19,0,0.42,2,0,0.298,0.12,0.76,4.85,0.43,0.16,0
5,444,0.34,0,0.58,4,5,-0.06,0.76,0.63,2.12,0.53,0.05,1
7,466,0.7,0,0.56,0,1,0.015,0.28,0.86,0.57,0.84,0.16,0
15,207,0.45,0,0.51,5,1,0.263,0.83,0.07,1.33,0.61,0.15,0
2,484,0.7,0,0.44,1,2,0.116,0.44,0.6,7.12,0.91,0.12,1
11,594,0.61,0,0.55,5,2,0.13,0.76,0.18,4.15,0.62,0.04,0
8,98,0.5,0,0.45,2,5,-0.058,0.16,0.41,3.96,0.62,0.16,0
6,263,0.36,0,0.55,3,4,0.23,0.0,0.87,3.7,0.65,0.1,0
8,57,0.24,0,0.32,2,3,0.252,0.48,0.03,5.04,0.4,0.03,0
2,235,0.99,0,0.52,1,0,0.159,0.15,0.93,2.33,1.0,0.08,0
8,569,0.19,0,0.43,4,4,0.199,0.14,0.07,6.18,0.25,0.19,0
5,310,0.85,0,0.54,5,3,0.246,0.45,0.48,2.66,1.0,0.09,1
12,249,0.59,1,0.69,3,0,0.027,0.47,0.91,3.05,0.66,0.99,1
9,344,0.88,0,0.61,3,0,0.11,0.46,0.72,3.28,1.0,0.01,1
10,412,0.67,0,0.6,5,4,0.052,0.32,0.72,6.08,0.93,0.12,0
5,237,0.76,1,0.38,0,5,0.182,0.1,0.17,2.4,0.89,0.53,1
7,154,0.28,0,0.48,5,1,-0.032,0.08,0.87,4.96,0.4,0.18,0
5,475,0.29,0,0.44,3,2,0.171,0.16,0.44,2.76,0.29,0.13,1
